transaction_id,user_id,amount,name,signup_date
149720,1,75.63,User_1,2020-01-02
152024,1,334.01,User_1,2020-01-02
14316,2,18.22,User_2,2020-01-03
55119,2,78.63,User_2,2020-01-03
55765,2,260.71,User_2,2020-01-03
7022,3,318.28,User_3,2020-01-04
149678,3,312.12,User_3,2020-01-04
186686,3,300.47,User_3,2020-01-04
54191,4,276.18,User_4,2020-01-05
95928,4,102.59,User_4,2020-01-05
133704,4,161.73,User_4,2020-01-05
180398,5,409.12,User_5,2020-01-06
184276,5,312.77,User_5,2020-01-06
139887,6,306.9,User_6,2020-01-07
162488,6,376.0,User_6,2020-01-07
80249,7,147.34,User_7,2020-01-08
10350,8,84.54,User_8,2020-01-09
138224,8,457.63,User_8,2020-01-09
72346,10,463.24,User_10,2020-01-11
15909,11,138.06,User_11,2020-01-12
118396,11,23.52,User_11,2020-01-12
150689,11,214.21,User_11,2020-01-12
11896,12,56.78,User_12,2020-01-13
19934,12,17.31,User_12,2020-01-13
28405,12,292.71,User_12,2020-01-13
71479,16,452.72,User_16,2020-01-17
78496,16,259.33,User_16,2020-01-17
83276,16,259.54,User_16,2020-01-17
145268,16,362.31,User_16,2020-01-17
146184,16,96.03,User_16,2020-01-17
4833,17,494.07,User_17,2020-01-18
181989,17,149.35,User_17,2020-01-18
39501,18,83.81,User_18,2020-01-19
41099,18,125.47,User_18,2020-01-19
79238,18,437.7,User_18,2020-01-19
136948,18,139.82,User_18,2020-01-19
186583,19,417.14,User_19,2020-01-20
54160,20,207.02,User_20,2020-01-21
79994,20,330.39,User_20,2020-01-21
127972,20,71.33,User_20,2020-01-21
39555,21,99.78,User_21,2020-01-22
116734,21,209.24,User_21,2020-01-22
135316,21,340.48,User_21,2020-01-22
185615,21,58.32,User_21,2020-01-22
52660,22,401.59,User_22,2020-01-23
182902,22,463.02,User_22,2020-01-23
39171,23,211.83,User_23,2020-01-24
118361,23,191.37,User_23,2020-01-24
129380,23,493.29,User_23,2020-01-24
91124,24,231.75,User_24,2020-01-25
132714,24,266.29,User_24,2020-01-25
175447,24,302.94,User_24,2020-01-25
37,25,390.78,User_25,2020-01-26
11634,25,240.83,User_25,2020-01-26
43515,25,23.12,User_25,2020-01-26
62752,25,238.55,User_25,2020-01-26
146525,25,256.35,User_25,2020-01-26
88855,26,242.27,User_26,2020-01-27
92870,26,21.83,User_26,2020-01-27
153843,26,32.12,User_26,2020-01-27
184297,27,387.43,User_27,2020-01-28
123345,28,91.56,User_28,2020-01-01
182092,28,353.61,User_28,2020-01-01
71899,30,393.19,User_30,2020-01-03
21013,31,98.88,User_31,2020-01-04
29247,31,69.81,User_31,2020-01-04
111685,31,83.19,User_31,2020-01-04
150916,31,233.16,User_31,2020-01-04
194109,31,195.31,User_31,2020-01-04
92978,33,217.71,User_33,2020-01-06
145622,33,147.06,User_33,2020-01-06
146984,34,191.57,User_34,2020-01-07
19564,35,497.83,User_35,2020-01-08
41878,35,110.03,User_35,2020-01-08
62657,35,413.76,User_35,2020-01-08
71679,35,63.66,User_35,2020-01-08
171811,36,170.54,User_36,2020-01-09
145372,37,363.62,User_37,2020-01-10
180912,37,457.96,User_37,2020-01-10
182252,37,74.55,User_37,2020-01-10
7737,38,60.03,User_38,2020-01-11
74411,38,378.92,User_38,2020-01-11
184965,38,15.06,User_38,2020-01-11
196369,38,320.87,User_38,2020-01-11
805,40,247.63,User_40,2020-01-13
75566,40,262.7,User_40,2020-01-13
12773,41,346.79,User_41,2020-01-14
113373,41,170.94,User_41,2020-01-14
143342,41,266.7,User_41,2020-01-14
71383,43,358.32,User_43,2020-01-16
93507,43,70.73,User_43,2020-01-16
23805,44,138.41,User_44,2020-01-17
161444,44,48.01,User_44,2020-01-17
169149,44,99.8,User_44,2020-01-17
170572,44,473.69,User_44,2020-01-17
5559,45,28.02,User_45,2020-01-18
145014,45,416.57,User_45,2020-01-18
170973,45,424.96,User_45,2020-01-18
49200,46,200.75,User_46,2020-01-19
77835,47,36.27,User_47,2020-01-20
104550,48,209.26,User_48,2020-01-21
9389,50,444.85,User_50,2020-01-23
102531,50,51.22,User_50,2020-01-23
160361,50,194.64,User_50,2020-01-23
141507,51,67.05,User_51,2020-01-24
31941,52,36.45,User_52,2020-01-25
93194,52,194.05,User_52,2020-01-25
188802,52,454.69,User_52,2020-01-25
37039,53,43.96,User_53,2020-01-26
31583,54,41.78,User_54,2020-01-27
187187,54,411.94,User_54,2020-01-27
42647,55,189.11,User_55,2020-01-28
54101,56,493.09,User_56,2020-01-01
96811,57,86.81,User_57,2020-01-02
19456,58,338.06,User_58,2020-01-03
172666,58,197.07,User_58,2020-01-03
143062,59,122.71,User_59,2020-01-04
159814,59,143.69,User_59,2020-01-04
174682,59,308.16,User_59,2020-01-04
87820,60,465.59,User_60,2020-01-05
123247,60,266.96,User_60,2020-01-05
153312,60,392.5,User_60,2020-01-05
185972,60,188.8,User_60,2020-01-05
139447,61,79.84,User_61,2020-01-06
195048,62,288.83,User_62,2020-01-07
1662,63,483.94,User_63,2020-01-08
2100,63,268.08,User_63,2020-01-08
18084,63,76.04,User_63,2020-01-08
74230,63,478.68,User_63,2020-01-08
105939,63,416.16,User_63,2020-01-08
140033,63,244.13,User_63,2020-01-08
167190,64,185.22,User_64,2020-01-09
5261,65,375.8,User_65,2020-01-10
72426,65,93.38,User_65,2020-01-10
162173,65,391.03,User_65,2020-01-10
163335,66,389.28,User_66,2020-01-11
50362,67,297.99,User_67,2020-01-12
132465,67,472.51,User_67,2020-01-12
43651,68,482.42,User_68,2020-01-13
87863,69,94.84,User_69,2020-01-14
124021,70,351.28,User_70,2020-01-15
82415,71,311.88,User_71,2020-01-16
169604,71,131.98,User_71,2020-01-16
181748,71,158.45,User_71,2020-01-16
51441,72,224.11,User_72,2020-01-17
76215,72,97.67,User_72,2020-01-17
27043,73,235.48,User_73,2020-01-18
36311,73,307.6,User_73,2020-01-18
99655,74,491.13,User_74,2020-01-19
144697,74,279.33,User_74,2020-01-19
20377,75,56.74,User_75,2020-01-20
115829,75,109.93,User_75,2020-01-20
187424,75,478.14,User_75,2020-01-20
71743,76,50.97,User_76,2020-01-21
99336,76,320.93,User_76,2020-01-21
165002,78,317.71,User_78,2020-01-23
46902,80,137.98,User_80,2020-01-25
81510,80,341.85,User_80,2020-01-25
161163,80,248.44,User_80,2020-01-25
187172,80,217.2,User_80,2020-01-25
107975,81,407.62,User_81,2020-01-26
128444,81,447.15,User_81,2020-01-26
151670,81,176.66,User_81,2020-01-26
183493,81,376.08,User_81,2020-01-26
157411,82,292.77,User_82,2020-01-27
176036,82,114.32,User_82,2020-01-27
112487,83,364.48,User_83,2020-01-28
148370,83,388.92,User_83,2020-01-28
98325,84,287.5,User_84,2020-01-01
190758,84,237.87,User_84,2020-01-01
18105,85,195.31,User_85,2020-01-02
9684,86,345.3,User_86,2020-01-03
36387,86,190.27,User_86,2020-01-03
40805,86,369.7,User_86,2020-01-03
123996,86,474.53,User_86,2020-01-03
147335,86,282.95,User_86,2020-01-03
71219,89,212.99,User_89,2020-01-06
88376,91,138.0,User_91,2020-01-08
169759,91,448.21,User_91,2020-01-08
75881,92,342.04,User_92,2020-01-09
160664,93,44.46,User_93,2020-01-10
193030,93,103.88,User_93,2020-01-10
4632,94,311.18,User_94,2020-01-11
129668,94,39.17,User_94,2020-01-11
141065,94,218.37,User_94,2020-01-11
51573,95,14.55,User_95,2020-01-12
101500,95,161.29,User_95,2020-01-12
21651,97,67.03,User_97,2020-01-14
31772,97,369.77,User_97,2020-01-14
48492,97,251.6,User_97,2020-01-14
56209,97,61.41,User_97,2020-01-14
107815,97,150.06,User_97,2020-01-14
163105,97,324.8,User_97,2020-01-14
3259,98,82.28,User_98,2020-01-15
49110,98,414.18,User_98,2020-01-15
144453,99,287.5,User_99,2020-01-16
157792,100,273.34,User_100,2020-01-17
12926,101,471.4,User_101,2020-01-18
98997,101,411.69,User_101,2020-01-18
153520,101,342.29,User_101,2020-01-18
198213,101,176.19,User_101,2020-01-18
60270,102,268.0,User_102,2020-01-19
137222,103,6.26,User_103,2020-01-20
10831,104,195.96,User_104,2020-01-21
21539,104,462.89,User_104,2020-01-21
77691,104,356.27,User_104,2020-01-21
58550,105,299.16,User_105,2020-01-22
122910,105,36.95,User_105,2020-01-22
185131,105,342.01,User_105,2020-01-22
190303,106,200.76,User_106,2020-01-23
143081,107,414.8,User_107,2020-01-24
972,108,495.57,User_108,2020-01-25
142288,108,180.16,User_108,2020-01-25
40178,109,306.77,User_109,2020-01-26
73087,110,13.14,User_110,2020-01-27
141467,111,70.61,User_111,2020-01-28
78037,112,401.79,User_112,2020-01-01
90166,112,460.05,User_112,2020-01-01
168985,113,465.29,User_113,2020-01-02
51791,114,437.76,User_114,2020-01-03
90932,114,144.83,User_114,2020-01-03
53673,115,312.28,User_115,2020-01-04
57880,115,86.55,User_115,2020-01-04
135807,115,158.82,User_115,2020-01-04
35702,116,32.94,User_116,2020-01-05
60644,116,54.67,User_116,2020-01-05
129954,116,479.31,User_116,2020-01-05
293,117,482.72,User_117,2020-01-06
